000001|Ana|García|ana.garcía@yahoo.com|49
000002|Juan|Pérez|juan.pérez@gmail.com|78
000003|Pedro|López|pedro.lópez@gmail.com|30
000004|María|Rodríguez|maría.rodríguez@outlook.com|27
000005|Carlos|Gómez|carlos.gómez@gmail.com|79
000006|Pedro|Martínez|pedro.martínez@yahoo.com|62
000007|Lucía|Fernández|lucía.fernández@yahoo.com|39
000008|Juan|López|juan.lópez@yahoo.com|54
000009|Ana|López|ana.lópez@yahoo.com|80
000010|Carlos|Rodríguez|carlos.rodríguez@hotmail.com|32
000011|Diego|Gómez|diego.gómez@hotmail.com|23
000012|Ana|Fernández|ana.fernández@gmail.com|76
000013|Lucía|García|lucía.garcía@outlook.com|50
000014|María|Pérez|maría.pérez@yahoo.com|57
000015|Pedro|Rodríguez|pedro.rodríguez@hotmail.com|31
000016|María|López|maría.lópez@hotmail.com|48
000017|Sofía|Martínez|sofía.martínez@yahoo.com|31
000018|Carlos|López|carlos.lópez@yahoo.com|35
000019|Lucía|Fernández|lucía.fernández@hotmail.com|30
000020|Carlos|Rodríguez|carlos.rodríguez@outlook.com|79
000021|Sofía|López|sofía.lópez@gmail.com|60
001021||Gómez|@email|30
000022|Lucía|Fernández|lucía.fernández@gmail.com|43
000023|María|Pérez|maría.pérez@hotmail.com|39
000024|Pedro|López|pedro.lópez@outlook.com|64
000025|Diego|García|diego.garcía@yahoo.com|40
001025|Ana|Rodríguez
000026|Sofía|Martínez|sofía.martínez@hotmail.com|45
000027|Ana|Pérez|ana.pérez@outlook.com|65
000028|Diego|Martínez|diego.martínez@yahoo.com|51
001028|Ana|López|13050|age
000029|Pedro|Rodríguez|pedro.rodríguez@hotmail.com|33
000030|Juan|López|juan.lópez@outlook.com|50
000031|Carlos|Pérez|carlos.pérez@yahoo.com|60
000032|Carlos|García|carlos.garcía@outlook.com|47
000033|Sofía|Gómez|sofía.gómez@gmail.com|44
000034|Carlos|Rodríguez|carlos.rodríguez@yahoo.com|19
000035|María|García|maría.garcía@hotmail.com|50
000036|Ana|Rodríguez|ana.rodríguez@hotmail.com|52
000037|Carlos|García|carlos.garcía@hotmail.com|27
000038|Carlos|Gómez|carlos.gómez@hotmail.com|77
000039|María|Fernández|maría.fernández@gmail.com|39
000040|María|Gómez|maría.gómez@yahoo.com|47
000041|Diego|Martínez|diego.martínez@outlook.com|36
000042|María|Gómez|maría.gómez@hotmail.com|72
000043|Juan|García|juan.garcía@gmail.com|53
000044|Pedro|Fernández|pedro.fernández@yahoo.com|64
001044|Sofía|Fernández
000045|Carlos|Rodríguez|carlos.rodríguez@gmail.com|56
000046|Juan|Martínez|juan.martínez@hotmail.com|65
000047|María|García|maría.garcía@outlook.com|57
000048|Lucía|Pérez|lucía.pérez@hotmail.com|80
000049|Diego|Pérez|diego.pérez@gmail.com|53
000050|María|Rodríguez|maría.rodríguez@hotmail.com|35
000051|Diego|Pérez|diego.pérez@hotmail.com|33
